,Traditional,Siamese_network,Deep_learning
14.544093786224702,29.185703765100676,28.801209120791007,27.78035046206792
11.568118567316812,30.897388902696953,31.93156680784069,29.238583144433342
15.130900192156446,30.675761382266906,29.65460064571924,28.389048027136525
15.078248164436522,30.526507642822615,29.625124914110756,28.262602653979222
16.10701758939252,29.725042764047142,29.32655485632504,27.986924701945618
16.793381322711635,29.331687637440098,30.432677221442255,27.760320588418548
11.390014129710288,30.58898095570888,30.14042574244174,28.618917046302705
12.589241335197023,29.7330068436671,28.904932979257854,28.15322563835778
14.830872923286298,29.511070403594772,29.158799541678178,28.286545508087293
13.709995308320373,29.959951878503706,29.282832461564887,28.556568693792066
