,Traditional,Siamese_network,Deep_learning
14.544093786224702,3.301352285088713,1.6951776409652481,2.5951497580601313
11.568118567316812,2.656932534326252,1.5376638632386719,2.055599087758017
15.130900192156446,3.5058147018021195,1.7753770064030725,2.73460097475874
15.078248164436522,3.4137126250094934,1.695565819195183,2.661574421443996
16.10701758939252,3.426397589063935,2.2723892363716462,2.713080599315493
16.793381322711635,3.8945314001315126,4.112777312373481,3.321471744086198
11.390014129710288,3.322972461117743,1.708037672232333,2.3065040241760535
12.589241335197023,3.2251344294950126,2.178350505882614,2.566072895443339
14.830872923286298,3.3404015529340114,2.2167710388619426,2.6521847735357937
13.709995308320373,2.957846675177306,1.804747445332012,2.24052540128943
